Country,CountryCode,Region,AdolescentFertility,Agriculture,CO2,Electric,Energy,Exports,Fertility,Forest,GDP,GDPGrowth,TechExports,Immunization,Imports,Industry,Internet,LifeExpectancy,Military,Mobile,Mortality,StatisticalCapacity,PopulationDensity,PopulationGrowth,Population,HIV,SecondarySchool,SurfaceArea,TaxRevenue,PopulationGrowthUrban,AgeDependency,Agricultural,AirPassengers,AirDepartures,ArmedForces,ATM,BirthRate,Cereal,ComputerExports,ComputerImports,DeathRate,Broadband,BroadbandPer100,Telephone,GDPperCapita,Hospital,TechExportsUSD,Household,HouseholdAdj,ICTServiceExports,ICTServiceExportsUSD,ICTGoodsImports,ICTGoodsExports,Unemployment,Nurses,PopulationChildren,PopulationAdult,PopulationElderly,Renewable,SecureInternetTotal,SecureInternet
Azerbaijan,AZE,Europe,40.1008,5.393453691,3.647379147,1705.424633,1369.350999,56.42698053,1.96,9360,65951627200,0.065922768,1.347690121,92,24.08106448,65.58119043,50,70.55129268,4.670135555,109.9720704,37.2,76.66666667,110.9763362,1.303000855,9173082,0.1,99.52384,86600,12.22476095,1.717863041,39.28735853,47687,1348414,15082,1.771344211,29.95398145,19.2,2370788.8,29.5085051,51.10900224,5.9,973869,10.58273509,1683876,7189.691229,4.55,8042867,24572622515,24572622515,14.13958484,430198000,3.458040033,0.003807888,,6.84,22.40792465,71.79402161,5.798054218,3.556330556,43,4.687628433
"Bahamas, The",BHS,North America,29.1272,2.337074713,5.205237886,,,43.64270097,1.898,5150,7889750000,0.612902596,0,90,57.3193067,17.12292532,65,74.75490244,,81.5628489,13.6,,36.5965035,1.605088743,366331,3.4,,13880,16.4378339,1.67415331,41.24780221,150,1056129.595,28393,0.401606426,75.97267841,15.479,687,7.055837709,39.62590253,5.958,15496,4.230054241,132995,21537.21634,2.9,0,5535720000,5535720000,,,2.739836534,1.689290456,51.90000153,,22.02980423,70.79717255,7.172475338,1.608499378,146,398.5466695
Bahrain,BHR,Asia,13.9646,,18.13127841,17268.42641,9649.665368,79.00228651,2.115,5.4,29044069149,2.100184109,0.152283226,99,47.80428128,,76.9999665,76.40204878,3.558028564,131.009991,7.2,,1701.005263,3.242934249,1292764,,101.4903,760,1.103893772,3.288132101,27.99219829,83.6,5590998.041,60778.71626,2.658829541,,15.922,,35.73273079,18.61821445,2.301,291521,,276523,22466.64445,,1619723,11240425532,11240345745,27.96965784,921808510.6,3.3403478,0.572224089,,2.412,19.80864334,78.12988281,2.061629295,,156,120.6716771
Bangladesh,BGD,Asia,82.2086,17.71316726,0.373339091,259.2919643,207.3266714,19.92207496,2.24,14394,1.28638E+11,6.46438388,0.174566158,91,27.49877488,26.39095362,4.5,69.89180488,1.277476751,55.19256723,46.1,68.88888889,1174.329193,1.142792111,152862431,0.1,50.7939,148460,8.685927392,3.616697448,55.72092935,91280,2022388.572,26535,0.296391708,3.60616781,20.614,52628576,67.69320073,6.340643423,5.817,468500,0.306484724,977700,841.5274955,0.6,39378724,95552865019,96553424055,35.4521182,941235499.2,3.441030569,0.04392006,,0.218,31.11987877,64.21744537,4.662678719,39.55373848,96,0.628015657
Barbados,BRB,North America,48.5976,1.568083167,5.556376063,,,38.98692061,1.842,83.6,4358000000,0.75850389,13.6876076,93,52.47590638,14.75772544,67,74.96714634,,123.4606322,14.7,,655.3581395,0.50089041,281804,0.9,104.66018,430,,0.016684742,42.08578502,150,,,0.375451619,32.47465657,12.802,310,,,9.214,62634,22.22608622,140668,15464.64919,,21207630,3327450000,3416600000,,,5.034157978,0.664384483,17,,19.138834,70.37976837,10.48104382,9.477269649,110,390.3422237
Belarus,BLR,Europe,21.0076,9.436940363,6.682510398,3628.523171,3097.712868,81.12894265,1.51,86688,59734593905,5.543711461,2.571723438,99,82.20789837,42.7168048,39.64889566,70.55365854,1.266061741,113.1688625,5.6,85.55555556,46.68572273,-0.179296573,9473000,0.4,106.30276,207600,15.0015968,0.396672221,40.40403696,88750,737599,14378,3.539703261,41.1684962,11.5,7980641,27.92750763,32.34125205,14.3,2098068,22.2008592,4207978,6305.773662,11.3,510644600,28473817357,29587165751,17.26357073,968400000,1.7070987,0.377957072,,10.529,14.94635487,71.22302246,13.83062363,7.378484668,117,12.35089201
Belgium,BEL,Europe,7.4444,0.695978659,8.849398302,8021.366172,5369.192389,81.42216022,1.81,6788.4,5.281E+11,1.618317967,10.00503949,95,80.80228472,23.38594058,81.609996,80.58536585,1.041285551,113.5309512,4.5,,364.8528402,1.160536579,11047744,,106.46234,30530,24.00984431,1.207637765,51.8926454,13370,8638553.1,131577,0.699042425,93.11823214,11.6,2939102,53.93473904,48.42106359,9.4,3543759,32.1965793,4634252,47801.5969,6.53,34680646884,2.71202E+11,2.71201E+11,41.88938434,41682323937,3.404014051,2.19186281,48.29999924,,16.81137276,65.83598328,17.35266495,5.461707355,6600,597.4070362
Belize,BLZ,North America,72.8594,13.13107301,1.739123561,,,60.0944139,2.756,13834,1487005600,2.103950804,4.838283915,98,63.10406632,22.60025251,30.7,73.48780488,1.036747945,70.31965347,17.7,56.66666667,13.86584831,2.459815961,316280,1.5,81.14424,22970,22.56622302,1.913059614,63.49444301,1570,179471.4135,31755,0.778931751,40.33022307,24.097,91767,11.52963023,19.95653146,4.541,9698,3.066270393,28844,4701.547995,1.1,268516,1045026950,1049311050,9.797659347,33330251.35,2.421316537,0.478286415,,,34.93075943,61.16415787,3.905084133,26.80029526,107,338.3078285
Benin,BEN,Africa,93.19621,36.85769478,0.509941159,,385.3940701,14.26245712,5.01,45110,7289779658,3.26371861,0.427288091,70,23.97523112,14.73277527,4.148323066,58.94490244,,79.40049868,92.1,58.88888889,86.73106598,2.799588715,9779795,1.2,47.6815,114760,15.8894019,3.755479204,85.43843276,34300,58314.1,1381,0.233633538,2.753759831,37.369,1544233,24.03527828,20.84500357,9.708,37535,0.383801501,152715,745.3918675,,202121,5576581834,5576793759,21.14826797,86952630.79,2.081428553,0.012262212,,,43.18858337,53.92624283,2.885152578,51.19204405,7,0.715761424
Bhutan,BTN,Asia,42.9184,17.11552217,0.769164648,,,41.20541495,2.322,32598,1820207626,7.890913893,8.75611E-05,95,70.48616833,42.96662882,21,67.46073171,,66.37918152,40.1,77.77777778,19.13657948,1.727127602,729429,0.1,69.69344,38394,,3.97764081,50.87389445,5200,226153.1266,4146.031775,,13.92577165,20.199,184333,0.691045109,27.78657981,6.599,13233,1.814158746,27490,2495.386975,1.8,272,748381311.5,756507093.3,,,2.383538678,15.8746121,,,29.11894035,66.28033447,4.600447655,89.96231256,4,5.483741392
Bolivia,BOL,South America,73.14279,12.52910323,1.561355792,621.4377625,760.0963538,44.11838354,3.308,568884,23948541156,5.173930421,13.2677502,96,38.41192401,38.94716398,30,66.62692683,1.467696914,80.90771949,42.2,70,9.530550171,1.639054544,10324445,0.3,77.27046,1098580,,2.282810461,67.73506273,370550,2125912.527,40751.45072,1.731425159,24.50978897,26.201,1988006.81,27.9153554,24.10334626,7.218,73542,0.712309475,878483,2319.595984,1.1,48204595,14595728269,14595728269,9.829926282,93191470.11,3.434803526,5.65809E-05,,1.005,35.6253624,59.6178093,4.756798267,32.67759038,96,9.298320636
Bosnia and Herzegovina,BIH,Europe,15.4918,8.392444687,6.185334807,3188.583818,1845.512307,31.13430853,1.255,21850,18318439121,0.957763336,3.043084153,89,55.30801935,27.26195811,47.77,75.96241463,1.156672155,82.60007887,7.2,67.77777778,75.28082353,-0.171939775,3839322,,,51210,20.66734614,-0.006363701,47.4910366,21510,40182.43977,1060.065672,0.731618687,37.67688433,8.716,1118257,48.26062931,29.69250186,9.791,430247,11.20632758,955937,4771.269282,,102729055,15585568271,15046170304,7.404260157,138517229,2.566883912,0.136262355,89.69999695,,16.90498924,67.80069733,15.29426289,14.16252417,76,19.79516175
Botswana,BWA,Africa,45.8056,2.716428259,2.443804075,1602.15352,1079.583692,44.40475063,2.712,112326,15682932628,6.048549263,0.868128661,94,51.21078736,40.24712788,8,46.66895122,2.3579621,145.9838697,50.7,63.33333333,3.505551144,0.877650512,1986701,22.8,,581730,23.16799518,1.289307853,60.07083821,258610,415864.0844,7910.25856,1.045396076,27.98892411,24.055,79093,54.71246367,57.11145339,17.289,19125,0.962651149,149578,7893.957183,,44536509,7111384619,7990147597,45.29952997,234249464.6,2.452125339,0.143115966,,,33.9994812,62.47230911,3.528160572,24.54278017,18,9.060246106
Brazil,BRA,South America,71.75079,5.124441896,2.231257237,2437.955027,1371.149472,11.47037612,1.822,5173276,2.61519E+12,3.916382188,9.720194162,99,12.24004032,27.16830822,45.69,73.34736585,1.412373007,119.0023853,15.3,84.44444444,23.56207649,0.879771441,196935134,,,8515770,14.9043981,1.220684859,47.34430687,2750300,87860363,970561,0.691398019,117.7695939,15.332,77586276,57.25796753,46.63989431,6.412,17833051,9.055291779,43025835,13279.44852,2.3,8414889217,1.57638E+12,1.57638E+12,52.86407268,20198895520,8.828039842,0.699902501,16,,25.03590775,67.86824799,7.095844269,45.47028003,10658,54.11934267
Brunei Darussalam,BRN,Asia,23.4054,0.628206532,23.96785089,8506.513953,9527.111131,79.66268462,2.031,3782,16691360425,3.429818477,,91,28.55029612,72.23322555,56,78.18102439,2.488536112,109.015478,9.4,,77.1370019,1.472741253,406512,,103.01517,5770,,1.950957199,42.85428132,114,1312935,11672,4.770623275,78.96051971,16.336,1480,,,3.02,23185,5.70339867,79839,41059.94516,2.79,,3250542712,3138197584,,,,,,7.73,26.16454124,70.00088501,3.833835125,0.015830707,46,113.1577912
Bulgaria,BGR,Europe,37.1128,5.438768227,6.71438251,4863.691441,2614.716164,63.63874017,1.51,39822,55765057234,1.982003144,7.467038084,95,62.66267066,30.00579859,47.97999305,74.16341463,1.486608671,142.8461575,12.6,91.11111111,67.68909359,-0.641228921,7348328,,93.23216,111000,18.29431085,-0.177597399,47.09327557,50880,932868,12297,1.413161945,93.58328715,9.6,7520535,22.35479875,36.72820969,14.7,1256796,17.13862118,2272834,7588.808942,6.4,1015453449,34666960540,34666960540,20.20758005,1515005306,5.612704295,2.128878949,55.70000076,4.684,13.40457726,67.98406982,18.61134911,13.27555917,1040,141.528794
Burkina Faso,BFA,Africa,118.2566,21.67069474,0.120817204,,,25.00369048,5.781,55890,10724061339,6.521769448,5.901046167,89,33.15030805,32.14966265,3,55.4404878,1.299206118,48.02719397,107.8,65.55555556,58.46240132,2.886012163,15995313,1,23.81748,274220,13.74683267,6.106536038,93.44405042,117650,133709.7792,3983.150259,0.158293581,2.216386953,41.971,3666404,,,11.671,14063,0.087919505,141529,670.4502337,,2552612,6393061506,6393061506,,,3.240140802,0.035077793,,,45.84196472,51.69453812,2.463502884,80.01005894,10,0.62518314
Burundi,BDI,Africa,30.9104,40.34738068,0.021908917,,,9.353710467,6.214,1702,2355652064,4.191625681,0.000246442,93,37.66549408,16.89923608,1.11,53.13656098,,20.06827414,89.7,54.44444444,371.5094237,3.277415967,9540362,1.2,25.96215,27830,,5.792275789,86.89730831,22200,,,1.159878255,0.655257191,45.154,339316,53.87094293,14.18691029,13.333,497,0.005209446,30010,246.9143271,1.9,39,1713238294,1713238294,3.477073581,3883279.323,1.709120886,0.179258383,,,44.0124588,53.50530624,2.482211828,96.64631983,1,0.104817826
Cabo Verde,CPV,Africa,72.79021,7.843176073,0.867122204,,,31.47249165,2.375,847.9,1864823991,3.968783812,0.601739492,96,60.28316209,17.7643874,32,74.20682927,0.479638193,80.81218046,27.3,70,121.7260546,0.604199324,490556,0.5,90.40873,4030,19.73131323,1.875514969,57.70315147,750,620394.7511,10658.07129,0.530419562,44.58499094,20.632,5569,7.172276809,17.61094432,5.144,21332,4.348535132,74503,3801.449765,,63455,1170705952,1170703802,5.372708721,31448851.16,3.324688805,,,0.557,30.96017647,63.40988541,5.62932682,21.20173199,8,16.30802599
Cambodia,KHM,Asia,44.8572,36.68384716,0.307803949,164.3860527,365.1423654,54.08075591,2.929,99666,12829541141,7.069569946,0.081956946,93,59.50108761,23.50433819,3.1,71.05109756,1.586611739,94.18821019,41.6,73.33333333,82.74338319,1.66330659,14605862,0.8,,181040,10.15469287,2.452689701,57.71188045,56550,499981.518,7191,2.315872406,5.872609383,26.109,9496000,7.110782428,16.31078676,6.066,22000,0.150624455,530000,878.3830178,0.7,5139291,10630521219,10559097112,6.36161926,173680000,2.116838612,0.048715741,,,31.44817543,63.40678024,5.14507103,72.25212709,36,2.464763805
Cameroon,CMR,Africa,118.8154,23.57125143,0.267620307,259.0721087,321.0502777,18.3872483,4.939,196960,26587311528,4.140591847,5.903446539,76,26.472313,29.57740223,5,54.13736585,1.30693096,49.56740015,100.8,64.44444444,44.7552876,2.546433283,21156272,4.5,47.18849,475440,,3.671759166,86.84593729,96000,171007.2,3036,0.27483232,2.298598034,38.186,2988076,44.31824307,19.18429577,12.306,10713,0.050637466,668965,1256.710612,,26918157,20173407244,20173407244,38.01450327,706342307.8,2.775395552,0.043136585,,,43.24463654,53.52003479,3.235338449,78.44117951,21,0.992613443
Canada,CAN,North America,14.3516,,14.13581338,16167.70687,7366.640208,30.5629786,1.61,3101340,1.7888E+12,2.96010266,13.42582088,98,31.76234764,,83,81.06831707,1.145132185,77.82549309,5.4,,3.776625307,0.987617711,34342780,,103.40475,9984670,11.64838244,1.207298991,44.63329246,625970,66078011.95,1245743.616,0.344588582,206.7130844,11,47271300,52.35765251,36.49464956,7,11282579,32.71506237,18274000,52086.53352,,25017006457,9.91269E+11,9.92719E+11,42.40847409,36177681047,7.985977744,2.483449743,13,9.288,16.38947105,69.14037323,14.47015381,20.69118057,47194,1374.204418
Central African Republic,CAF,Africa,99.99181,54.49983446,0.064475205,,,13.45430713,4.538,225750,2195599557,3.300739707,0.032534632,49,24.42139045,13.87759417,2.2,48.79304878,,22.37140338,147.6,56.66666667,7.12096215,1.964430222,4436217,4.3,18.17666,622980,8.361869757,2.493595299,79.31586019,50800,,,0.151279827,0.907102834,34.767,259000,,,15.724,810,0.0182588,815,494.9260951,1,1394,1994902190,1994902896,,,5.898066201,,,,40.35940933,55.76751709,3.87307477,78.37461437,,
Chad,TCD,Africa,157.9878,53.10902672,0.044623125,,,38.87725693,6.486,114458,12156380062,0.082869798,,54,41.80381796,13.08011047,1.9,50.23619512,5.015529853,30.34478288,156.1,54.44444444,9.593422014,3.019083526,12080037,2.8,23.45654,1284000,,3.314358024,104.7471363,499320,74653.8,984,0.785239746,0.483986957,46.957,1553289,,,15.046,15799,,31839,1006.319771,,,8262767075,8262767075,,,,,,,48.68795395,48.84072876,2.471308708,90.60723977,,
Chile,CHL,South America,55.932,3.583293401,4.58786833,3568.084003,1945.547981,38.05062218,1.844,162686,2.50832E+11,5.839640585,4.604735767,91,34.89657778,38.71906466,52.24960729,79.3065122,2.168819341,128.9269073,8.6,94.44444444,23.2786874,0.915227629,17308449,0.3,89.86536,756096,18.96572659,1.145250109,45.28465836,157890,10949863,123739,1.243267035,64.36113711,14.191,3950348,22.28138688,21.99380396,5.483,2011244,11.62001286,3366325,14491.90292,2.1,507261557,1.53034E+11,1.53034E+11,21.50648648,2818485724,7.07664255,0.36010342,,,21.73189545,68.83039856,9.437714577,28.72208538,1165,67.3081684
China,CHN,Asia,8.5164,9.533373199,6.710301991,3298.024001,2043.638808,25.4564374,1.657,2096239.4,7.49243E+12,9.484506202,25.8079484,99,23.3744894,46.14324651,38.3,75.042,1.965407587,72.0713209,14.7,68.88888889,143.1721123,0.479150454,1344130000,,86.6122,9562911,10.39409779,3.178740299,36.09528692,5191482,292160158,2538667,0.376395092,30.28928395,11.93,518832200,52.23039545,27.04705931,7.14,156487000,,285115000,5574.187093,3.8,4.57107E+11,2.61482E+12,2.82512E+12,32.84788366,60690749652,17.9992439,26.76018206,,1.67,18.01361465,73.47792816,8.508454323,18.01648252,3260,2.425360642
Colombia,COL,South America,69.68941,6.848857138,1.538341298,1105.380954,663.8167989,18.7361065,2.346,603980,3.35415E+11,6.589511516,4.327384992,88,19.9327627,37.57691743,40.35091575,73.57385366,3.072783411,98.13425332,18,84.44444444,42.43243984,1.355815601,47078792,0.5,97.06257,1141750,14.55540092,1.734912952,51.89965112,437856,18768534.77,237570.829,1.943084671,32.29797046,19.448,3802548.71,17.72904779,29.96926445,5.545,3348142,7.111784007,7126730,7124.54892,1.4,400794305,2.05359E+11,2.05359E+11,14.12651579,796152772.4,8.500468708,0.097547674,,,28.38772774,65.83293152,5.779334545,26.41774174,996,21.15602286
Comoros,COM,Africa,52.5028,38.78690026,0.225189085,,,15.78089982,4.85,26,586281824.1,2.600000088,,87,52.18883293,11.40998144,5.5,60.4254878,,30.91017629,82.8,50,376.2579258,2.47754119,700216,,,1861,,2.648883934,82.1524358,1550,,,,7.167094636,36.474,33300,28.18358839,5.639725766,9.041,400,,23146,837.2871001,,,598330433.4,598330433.4,,,,,,,42.213974,54.89891815,2.886823416,46.84945014,3,4.284392245
"Congo, Dem. Rep.",ZAR,Africa,134.6404,24.04098649,0.053572611,112.7925772,330.0059601,45.35949161,6.146,1538236,23849009738,6.864630028,,74,49.64383765,33.76212888,1.2,49.30070732,1.00124691,24.47130767,126.4,43.33333333,28.20030965,2.759950183,63931512,1.2,43.141,2344860,,4.016513377,92.78039007,257550,252408.1796,2295,0.533829416,0.500328434,43.585,1529418,44.40673126,20.56935611,15.963,,,56970,373.0399766,,,17899947439,17805147625,19.45921723,143873874.4,,,,,45.28985214,51.87249756,2.837653875,96.26166854,12,0.187700863
"Congo, Rep.",COG,Africa,127.4716,3.383117567,0.53199527,171.5830537,396.8389432,87.28304928,5.046,223990,14425607224,3.42062127,2.560300763,75,57.83572795,76.6256379,5.6,57.77521951,,91.93909914,55.7,50,12.37293997,2.72640112,4225359,2.8,,342000,,3.416747727,84.09929634,105600,438178.4704,4817,0.697017925,2.501476225,38.373,27050,,,10.788,1311,0.031026949,14200,3414.054811,,76127630,5091277532,5091277532,,,0.80999044,0.003608114,,,42.2875061,54.31846237,3.393936396,49.54462806,5,1.183331405
Costa Rica,CRI,North America,61.7618,6.399889156,1.655602109,1843.940494,982.5653062,37.21167651,1.827,26278,41237293551,4.517746474,40.84476379,83,42.19225875,25.35598652,39.212196,79.48956098,,87.66035275,10,76.66666667,92.78652566,1.445594682,4737680,0.2,101.10615,51100,13.69757213,3.01132295,45.07824888,18800,1829514.947,43354,0.435760847,51.01768667,15.502,297476,61.72193165,20.13143495,4.19,419782,8.860497121,1031719,8704.1112,1.2,2511568834,26888082499,26888082499,32.25155041,2157908579,18.21352339,19.48511619,,,24.41213799,68.92837524,6.659567356,40.50231019,526,111.0248054
Cote d'Ivoire,CIV,Africa,129.3156,26.69084412,0.332470412,213.5641993,598.6109611,53.82022214,4.907,104026,25381617036,-4.387259842,15.08146787,49,37.33487243,24.21414869,2.9,50.04756098,1.407830605,89.44962943,106.2,67.77777778,60.97469811,2.154908805,19389954,3,,322460,10.93157771,3.623585661,81.09671829,205000,89791.86777,907,,4.693615721,36.637,1607414,,,14.638,,,276494,1309.008626,,155140853,17076685016,17149101744,,,3.082330227,0.054383265,,,41.65411758,55.21911621,3.126773834,79.31484698,19,0.979888864
Croatia,HRV,Europe,12.9058,4.668419045,4.801530011,3900.601361,1971.411631,40.40536762,1.48,19234,62236755927,-0.281367268,7.556706881,96,40.86780301,27.02243907,57.78997899,76.77560976,1.77782054,118.3013547,5,86.66666667,76.49431737,,4280622,,97.96422,56590,18.46800566,-2.697859165,48.99033617,13261,1812519,26743,1.152464674,109.4366122,9.6,2829295,15.27529294,46.65969551,11.9,892835,20.64920804,1848031,14539.18518,5.98,672543092,37165927506,37165927506,12.65510569,1619312803,4.214896973,1.548419138,63.79999924,5.798,15.14648342,67.11839294,17.7350502,17.21733332,990,231.2748007
Cuba,CUB,North America,43.5112,4.999046408,3.185683146,1327.85825,994.0859625,25.10344232,1.459,29046,68990140000,2.802964336,,99,21.85703638,20.52558216,16.0172908,78.89382927,3.253218503,11.66313248,6.9,,105.9381154,-0.050669789,11276053,0.2,89.9995,109880,,0.069362073,42.17028277,65700,1478595.959,18302.85837,1.421623362,,9.744,920658,,,7.534,4421,,1193415,6118.288022,5.1,,36468900000,36469340000,,,,,,,16.93421364,70.3381958,12.72760105,19.5278621,,
Cyprus,CYP,Europe,5.688801,2.395846677,6.736166081,4271.334055,2120.944405,49.53681324,1.47,1732.5,27089174646,0.261283105,27.29082761,87,52.95400873,14.95740002,56.85989235,79.47195122,1.770947834,97.70992366,3.8,,120.8347403,1.15558547,1116513,0.1,92.82562,9250,23.71510063,0.940769093,41.30155259,1185,1263117,12430,2.174840085,70.29907445,11.605,73699,26.95423085,17.07420926,6.882,212149,19.00103268,405024,31836.61951,3.5,101643077,17828173215,17828159313,24.98442293,1982092314,4.55895157,5.640873064,20.79999924,,17.44153404,70.77069092,11.78786087,7.415746861,1252,1121.348341
